"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Slovenia (SI)","Generation - Solar  [MW] Intraday / Slovenia (SI)","Generation - Solar  [MW] Current / Slovenia (SI)"
"09.01.2022 14:00 - 09.01.2022 15:00","12","12","15"
"09.01.2022 15:00 - 09.01.2022 16:00","5","5","6"
"09.01.2022 16:00 - 09.01.2022 17:00","0","0","0"
"09.01.2022 17:00 - 09.01.2022 18:00","0","0","0"
"09.01.2022 18:00 - 09.01.2022 19:00","0","0","0"
"09.01.2022 19:00 - 09.01.2022 20:00","0","0","0"
"09.01.2022 20:00 - 09.01.2022 21:00","0","0","0"
"09.01.2022 21:00 - 09.01.2022 22:00","0","0","0"
"09.01.2022 22:00 - 09.01.2022 23:00","0","0","0"
"09.01.2022 23:00 - 10.01.2022 00:00","0","0","0"
"10.01.2022 00:00 - 10.01.2022 01:00","0","0","0"
"10.01.2022 01:00 - 10.01.2022 02:00","0","0","0"
"10.01.2022 02:00 - 10.01.2022 03:00","0","0","0"
"10.01.2022 03:00 - 10.01.2022 04:00","0","0","0"
"10.01.2022 04:00 - 10.01.2022 05:00","0","0","0"
"10.01.2022 05:00 - 10.01.2022 06:00","0","0","0"
"10.01.2022 06:00 - 10.01.2022 07:00","0","0","0"
"10.01.2022 07:00 - 10.01.2022 08:00","0","0","0"
"10.01.2022 08:00 - 10.01.2022 09:00","4","4","4"
"10.01.2022 09:00 - 10.01.2022 10:00","12","12","11"
"10.01.2022 10:00 - 10.01.2022 11:00","22","22","21"
"10.01.2022 11:00 - 10.01.2022 12:00","29","29","28"
"10.01.2022 12:00 - 10.01.2022 13:00","35","35","34"
"10.01.2022 13:00 - 10.01.2022 14:00","34","34","33"
"10.01.2022 14:00 - 10.01.2022 15:00","24","24","25"
"10.01.2022 15:00 - 10.01.2022 16:00","10","10","10"
"10.01.2022 16:00 - 10.01.2022 17:00","1","1","1"
"10.01.2022 17:00 - 10.01.2022 18:00","0","0","0"
"10.01.2022 18:00 - 10.01.2022 19:00","0","0","0"
"10.01.2022 19:00 - 10.01.2022 20:00","0","0","0"
"10.01.2022 20:00 - 10.01.2022 21:00","0","0","0"
"10.01.2022 21:00 - 10.01.2022 22:00","0","0","0"
"10.01.2022 22:00 - 10.01.2022 23:00","0","0","0"
"10.01.2022 23:00 - 11.01.2022 00:00","0","0","0"
"11.01.2022 00:00 - 11.01.2022 01:00","0","0","0"
"11.01.2022 01:00 - 11.01.2022 02:00","0","0","0"
"11.01.2022 02:00 - 11.01.2022 03:00","0","0","0"
"11.01.2022 03:00 - 11.01.2022 04:00","0","0","0"
"11.01.2022 04:00 - 11.01.2022 05:00","0","0","0"
"11.01.2022 05:00 - 11.01.2022 06:00","0","0","0"
"11.01.2022 06:00 - 11.01.2022 07:00","0","0","0"
"11.01.2022 07:00 - 11.01.2022 08:00","0","0","0"
"11.01.2022 08:00 - 11.01.2022 09:00","10","10","10"
"11.01.2022 09:00 - 11.01.2022 10:00","27","27","28"
"11.01.2022 10:00 - 11.01.2022 11:00","50","50","51"
"11.01.2022 11:00 - 11.01.2022 12:00","68","68","70"
"11.01.2022 12:00 - 11.01.2022 13:00","72","72","75"
"11.01.2022 13:00 - 11.01.2022 14:00","64","64","66"
"11.01.2022 14:00 - 11.01.2022 15:00","42","42","44"
"11.01.2022 15:00 - 11.01.2022 16:00","16","16","17"
"11.01.2022 16:00 - 11.01.2022 17:00","1","1","1"
"11.01.2022 17:00 - 11.01.2022 18:00","0","0","0"
"11.01.2022 18:00 - 11.01.2022 19:00","0","0","0"
"11.01.2022 19:00 - 11.01.2022 20:00","0","0","0"
"11.01.2022 20:00 - 11.01.2022 21:00","0","0","0"
"11.01.2022 21:00 - 11.01.2022 22:00","0","0","0"
"11.01.2022 22:00 - 11.01.2022 23:00","0","0","0"
"11.01.2022 23:00 - 12.01.2022 00:00","0","0","0"
"12.01.2022 00:00 - 12.01.2022 01:00","0","0","0"
"12.01.2022 01:00 - 12.01.2022 02:00","0","0","0"
"12.01.2022 02:00 - 12.01.2022 03:00","0","0","0"
"12.01.2022 03:00 - 12.01.2022 04:00","0","0","0"
"12.01.2022 04:00 - 12.01.2022 05:00","0","0","0"
"12.01.2022 05:00 - 12.01.2022 06:00","0","0","0"
"12.01.2022 06:00 - 12.01.2022 07:00","0","0","0"
"12.01.2022 07:00 - 12.01.2022 08:00","0","0","0"
"12.01.2022 08:00 - 12.01.2022 09:00","12","12","12"
"12.01.2022 09:00 - 12.01.2022 10:00","36","36","35"
"12.01.2022 10:00 - 12.01.2022 11:00","63","63","62"
"12.01.2022 11:00 - 12.01.2022 12:00","83","83","84"
"12.01.2022 12:00 - 12.01.2022 13:00","84","84","84"
"12.01.2022 13:00 - 12.01.2022 14:00","73","73","74"
"12.01.2022 14:00 - 12.01.2022 15:00","48","48","49"
"12.01.2022 15:00 - 12.01.2022 16:00","18","18","18"
"12.01.2022 16:00 - 12.01.2022 17:00","1","1","1"
"12.01.2022 17:00 - 12.01.2022 18:00","0","0","0"
"12.01.2022 18:00 - 12.01.2022 19:00","0","0","0"
"12.01.2022 19:00 - 12.01.2022 20:00","0","0","0"
"12.01.2022 20:00 - 12.01.2022 21:00","0","0","0"
"12.01.2022 21:00 - 12.01.2022 22:00","0","0","0"
"12.01.2022 22:00 - 12.01.2022 23:00","0","0","0"
"12.01.2022 23:00 - 13.01.2022 00:00","0","0","0"
"13.01.2022 00:00 - 13.01.2022 01:00","0","0","0"
"13.01.2022 01:00 - 13.01.2022 02:00","0","0","0"
"13.01.2022 02:00 - 13.01.2022 03:00","0","0","0"
"13.01.2022 03:00 - 13.01.2022 04:00","0","0","0"
"13.01.2022 04:00 - 13.01.2022 05:00","0","0","0"
"13.01.2022 05:00 - 13.01.2022 06:00","0","0","0"
"13.01.2022 06:00 - 13.01.2022 07:00","0","0","0"
"13.01.2022 07:00 - 13.01.2022 08:00","0","0","0"
"13.01.2022 08:00 - 13.01.2022 09:00","13","13","11"
"13.01.2022 09:00 - 13.01.2022 10:00","38","38","36"
"13.01.2022 10:00 - 13.01.2022 11:00","70","70","69"
"13.01.2022 11:00 - 13.01.2022 12:00","94","94","92"
"13.01.2022 12:00 - 13.01.2022 13:00","96","96","87"
"13.01.2022 13:00 - 13.01.2022 14:00","80","80","69"
"13.01.2022 14:00 - 13.01.2022 15:00","52","52","44"
"13.01.2022 15:00 - 13.01.2022 16:00","20","20","17"
"13.01.2022 16:00 - 13.01.2022 17:00","1","1","1"
"13.01.2022 17:00 - 13.01.2022 18:00","0","0","0"
"13.01.2022 18:00 - 13.01.2022 19:00","0","0","0"
"13.01.2022 19:00 - 13.01.2022 20:00","0","0","0"
"13.01.2022 20:00 - 13.01.2022 21:00","0","0","0"
"13.01.2022 21:00 - 13.01.2022 22:00","0","0","0"
"13.01.2022 22:00 - 13.01.2022 23:00","0","0","0"
"13.01.2022 23:00 - 14.01.2022 00:00","0","0","0"
"14.01.2022 00:00 - 14.01.2022 01:00","0","0","0"
"14.01.2022 01:00 - 14.01.2022 02:00","0","0","0"
"14.01.2022 02:00 - 14.01.2022 03:00","0","0","0"
"14.01.2022 03:00 - 14.01.2022 04:00","0","0","0"
"14.01.2022 04:00 - 14.01.2022 05:00","0","0","0"
"14.01.2022 05:00 - 14.01.2022 06:00","0","0","0"
"14.01.2022 06:00 - 14.01.2022 07:00","0","0","0"
"14.01.2022 07:00 - 14.01.2022 08:00","0","0","0"
"14.01.2022 08:00 - 14.01.2022 09:00","12","12","12"
"14.01.2022 09:00 - 14.01.2022 10:00","36","36","38"
"14.01.2022 10:00 - 14.01.2022 11:00","68","68","70"
"14.01.2022 11:00 - 14.01.2022 12:00","92","92","93"
"14.01.2022 12:00 - 14.01.2022 13:00","98","98","99"
"14.01.2022 13:00 - 14.01.2022 14:00","87","87","88"
"14.01.2022 14:00 - 14.01.2022 15:00","57","57","56"
"14.01.2022 15:00 - 14.01.2022 16:00","23","23","23"
"14.01.2022 16:00 - 14.01.2022 17:00","2","2","2"
"14.01.2022 17:00 - 14.01.2022 18:00","0","0","0"
"14.01.2022 18:00 - 14.01.2022 19:00","0","0","0"
"14.01.2022 19:00 - 14.01.2022 20:00","0","0","0"
"14.01.2022 20:00 - 14.01.2022 21:00","0","0","0"
"14.01.2022 21:00 - 14.01.2022 22:00","0","0","0"
"14.01.2022 22:00 - 14.01.2022 23:00","0","0","0"
"14.01.2022 23:00 - 15.01.2022 00:00","0","0","0"
"15.01.2022 00:00 - 15.01.2022 01:00","0","0","0"
"15.01.2022 01:00 - 15.01.2022 02:00","0","0","0"
"15.01.2022 02:00 - 15.01.2022 03:00","0","0","0"
"15.01.2022 03:00 - 15.01.2022 04:00","0","0","0"
"15.01.2022 04:00 - 15.01.2022 05:00","0","0","0"
"15.01.2022 05:00 - 15.01.2022 06:00","0","0","0"
"15.01.2022 06:00 - 15.01.2022 07:00","0","0","0"
"15.01.2022 07:00 - 15.01.2022 08:00","1","1","1"
"15.01.2022 08:00 - 15.01.2022 09:00","13","13","15"
"15.01.2022 09:00 - 15.01.2022 10:00","39","39","46"
"15.01.2022 10:00 - 15.01.2022 11:00","74","74","81"
"15.01.2022 11:00 - 15.01.2022 12:00","103","103","108"
"15.01.2022 12:00 - 15.01.2022 13:00","110","110","112"
"15.01.2022 13:00 - 15.01.2022 14:00","97","97","98"
"15.01.2022 14:00 - 15.01.2022 15:00","64","64","63"
"15.01.2022 15:00 - 15.01.2022 16:00","26","26","26"
"15.01.2022 16:00 - 15.01.2022 17:00","2","2","2"
"15.01.2022 17:00 - 15.01.2022 18:00","0","0","0"
"15.01.2022 18:00 - 15.01.2022 19:00","0","0","0"
"15.01.2022 19:00 - 15.01.2022 20:00","0","0","0"
"15.01.2022 20:00 - 15.01.2022 21:00","0","0","0"
"15.01.2022 21:00 - 15.01.2022 22:00","0","0","0"
"15.01.2022 22:00 - 15.01.2022 23:00","0","0","0"
"15.01.2022 23:00 - 16.01.2022 00:00","0","0","0"
"16.01.2022 00:00 - 16.01.2022 01:00","0","0","0"
"16.01.2022 01:00 - 16.01.2022 02:00","0","0","0"
"16.01.2022 02:00 - 16.01.2022 03:00","0","0","0"
"16.01.2022 03:00 - 16.01.2022 04:00","0","0","0"
"16.01.2022 04:00 - 16.01.2022 05:00","0","0","0"
"16.01.2022 05:00 - 16.01.2022 06:00","0","0","0"
"16.01.2022 06:00 - 16.01.2022 07:00","0","0","0"
"16.01.2022 07:00 - 16.01.2022 08:00","0","0","1"
"16.01.2022 08:00 - 16.01.2022 09:00","12","12","14"
"16.01.2022 09:00 - 16.01.2022 10:00","38","38","41"
