"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|HU","Without sequence","161.18","",""
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|HU","Without sequence","178.76","",""
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|HU","Without sequence","179.56","",""
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|HU","Without sequence","175.72","",""
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|HU","Without sequence","158.6","",""
"05/01/2022 21:00:00 - 05/01/2022 22:00:00","BZN|HU","Without sequence","137.15","",""
"05/01/2022 22:00:00 - 05/01/2022 23:00:00","BZN|HU","Without sequence","144.44","",""
"05/01/2022 23:00:00 - 06/01/2022 00:00:00","BZN|HU","Without sequence","129.63","",""
"06/01/2022 00:00:00 - 06/01/2022 01:00:00","BZN|HU","Without sequence","131.92","",""
"06/01/2022 01:00:00 - 06/01/2022 02:00:00","BZN|HU","Without sequence","128.47","",""
"06/01/2022 02:00:00 - 06/01/2022 03:00:00","BZN|HU","Without sequence","113.21","",""
"06/01/2022 03:00:00 - 06/01/2022 04:00:00","BZN|HU","Without sequence","111.55","",""
"06/01/2022 04:00:00 - 06/01/2022 05:00:00","BZN|HU","Without sequence","130.84","",""
"06/01/2022 05:00:00 - 06/01/2022 06:00:00","BZN|HU","Without sequence","158.39","",""
"06/01/2022 06:00:00 - 06/01/2022 07:00:00","BZN|HU","Without sequence","189.1","",""
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","BZN|HU","Without sequence","228.25","",""
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","BZN|HU","Without sequence","230.82","",""
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","BZN|HU","Without sequence","212.9","",""
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","BZN|HU","Without sequence","215.5","",""
