"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|IT-North","Without sequence","203.91","",""
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|IT-North","Without sequence","202.54","",""
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","BZN|IT-North","Without sequence","205.17","",""
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","BZN|IT-North","Without sequence","229.22","",""
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","BZN|IT-North","Without sequence","240.0","",""
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","BZN|IT-North","Without sequence","254.19","",""
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","BZN|IT-North","Without sequence","257.24","",""
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","BZN|IT-North","Without sequence","254.18","",""
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","BZN|IT-North","Without sequence","241.22","",""
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","BZN|IT-North","Without sequence","240.2","",""
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","BZN|IT-North","Without sequence","229.53","",""
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","BZN|IT-North","Without sequence","233.49","",""
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","BZN|IT-North","Without sequence","237.08","",""
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","BZN|IT-North","Without sequence","239.0","",""
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","BZN|IT-North","Without sequence","266.86","",""
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","BZN|IT-North","Without sequence","270.0","",""
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","BZN|IT-North","Without sequence","257.2","",""
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","BZN|IT-North","Without sequence","244.41","",""
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","BZN|IT-North","Without sequence","236.04","",""
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","BZN|IT-North","Without sequence","229.0","",""
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","BZN|IT-North","Without sequence","207.49","",""
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","BZN|IT-North","Without sequence","218.33","",""
"08/01/2022 01:00:00 - 08/01/2022 02:00:00","BZN|IT-North","Without sequence","211.23","",""
"08/01/2022 02:00:00 - 08/01/2022 03:00:00","BZN|IT-North","Without sequence","201.9","",""
"08/01/2022 03:00:00 - 08/01/2022 04:00:00","BZN|IT-North","Without sequence","201.0","",""
"08/01/2022 04:00:00 - 08/01/2022 05:00:00","BZN|IT-North","Without sequence","201.0","",""
"08/01/2022 05:00:00 - 08/01/2022 06:00:00","BZN|IT-North","Without sequence","201.0","",""
"08/01/2022 06:00:00 - 08/01/2022 07:00:00","BZN|IT-North","Without sequence","215.43","",""
"08/01/2022 07:00:00 - 08/01/2022 08:00:00","BZN|IT-North","Without sequence","228.77","",""
"08/01/2022 08:00:00 - 08/01/2022 09:00:00","BZN|IT-North","Without sequence","238.11","",""
"08/01/2022 09:00:00 - 08/01/2022 10:00:00","BZN|IT-North","Without sequence","239.0","",""
"08/01/2022 10:00:00 - 08/01/2022 11:00:00","BZN|IT-North","Without sequence","242.93","",""
"08/01/2022 11:00:00 - 08/01/2022 12:00:00","BZN|IT-North","Without sequence","231.02","",""
"08/01/2022 12:00:00 - 08/01/2022 13:00:00","BZN|IT-North","Without sequence","223.33","",""
"08/01/2022 13:00:00 - 08/01/2022 14:00:00","BZN|IT-North","Without sequence","215.72","",""
"08/01/2022 14:00:00 - 08/01/2022 15:00:00","BZN|IT-North","Without sequence","215.49","",""
"08/01/2022 15:00:00 - 08/01/2022 16:00:00","BZN|IT-North","Without sequence","230.0","",""
"08/01/2022 16:00:00 - 08/01/2022 17:00:00","BZN|IT-North","Without sequence","242.67","",""
"08/01/2022 17:00:00 - 08/01/2022 18:00:00","BZN|IT-North","Without sequence","290.0","",""
"08/01/2022 18:00:00 - 08/01/2022 19:00:00","BZN|IT-North","Without sequence","300.0","",""
"08/01/2022 19:00:00 - 08/01/2022 20:00:00","BZN|IT-North","Without sequence","294.96","",""
"08/01/2022 20:00:00 - 08/01/2022 21:00:00","BZN|IT-North","Without sequence","283.0","",""
"08/01/2022 21:00:00 - 08/01/2022 22:00:00","BZN|IT-North","Without sequence","241.77","",""
"08/01/2022 22:00:00 - 08/01/2022 23:00:00","BZN|IT-North","Without sequence","233.56","",""
"08/01/2022 23:00:00 - 09/01/2022 00:00:00","BZN|IT-North","Without sequence","227.0","",""
"09/01/2022 00:00:00 - 09/01/2022 01:00:00","BZN|IT-North","Without sequence","215.0","",""
"09/01/2022 01:00:00 - 09/01/2022 02:00:00","BZN|IT-North","Without sequence","204.01","",""
"09/01/2022 02:00:00 - 09/01/2022 03:00:00","BZN|IT-North","Without sequence","197.61","",""
"09/01/2022 03:00:00 - 09/01/2022 04:00:00","BZN|IT-North","Without sequence","191.0","",""
"09/01/2022 04:00:00 - 09/01/2022 05:00:00","BZN|IT-North","Without sequence","182.0","",""
"09/01/2022 05:00:00 - 09/01/2022 06:00:00","BZN|IT-North","Without sequence","172.0","",""
"09/01/2022 06:00:00 - 09/01/2022 07:00:00","BZN|IT-North","Without sequence","176.33","",""
"09/01/2022 07:00:00 - 09/01/2022 08:00:00","BZN|IT-North","Without sequence","187.66","",""
"09/01/2022 08:00:00 - 09/01/2022 09:00:00","BZN|IT-North","Without sequence","190.66","",""
"09/01/2022 09:00:00 - 09/01/2022 10:00:00","BZN|IT-North","Without sequence","194.36","",""
"09/01/2022 10:00:00 - 09/01/2022 11:00:00","BZN|IT-North","Without sequence","215.0","",""
"09/01/2022 11:00:00 - 09/01/2022 12:00:00","BZN|IT-North","Without sequence","218.9","",""
"09/01/2022 12:00:00 - 09/01/2022 13:00:00","BZN|IT-North","Without sequence","218.34","",""
"09/01/2022 13:00:00 - 09/01/2022 14:00:00","BZN|IT-North","Without sequence","210.47","",""
"09/01/2022 14:00:00 - 09/01/2022 15:00:00","BZN|IT-North","Without sequence","213.06","",""
"09/01/2022 15:00:00 - 09/01/2022 16:00:00","BZN|IT-North","Without sequence","223.35","",""
"09/01/2022 16:00:00 - 09/01/2022 17:00:00","BZN|IT-North","Without sequence","225.55","",""
"09/01/2022 17:00:00 - 09/01/2022 18:00:00","BZN|IT-North","Without sequence","257.35","",""
"09/01/2022 18:00:00 - 09/01/2022 19:00:00","BZN|IT-North","Without sequence","269.6","",""
"09/01/2022 19:00:00 - 09/01/2022 20:00:00","BZN|IT-North","Without sequence","269.36","",""
"09/01/2022 20:00:00 - 09/01/2022 21:00:00","BZN|IT-North","Without sequence","242.08","",""
"09/01/2022 21:00:00 - 09/01/2022 22:00:00","BZN|IT-North","Without sequence","222.8","",""
"09/01/2022 22:00:00 - 09/01/2022 23:00:00","BZN|IT-North","Without sequence","218.34","",""
"09/01/2022 23:00:00 - 10/01/2022 00:00:00","BZN|IT-North","Without sequence","203.8","",""
"10/01/2022 00:00:00 - 10/01/2022 01:00:00","BZN|IT-North","Without sequence","196.23","",""
"10/01/2022 01:00:00 - 10/01/2022 02:00:00","BZN|IT-North","Without sequence","191.85","",""
"10/01/2022 02:00:00 - 10/01/2022 03:00:00","BZN|IT-North","Without sequence","195.91","",""
"10/01/2022 03:00:00 - 10/01/2022 04:00:00","BZN|IT-North","Without sequence","186.66","",""
"10/01/2022 04:00:00 - 10/01/2022 05:00:00","BZN|IT-North","Without sequence","178.04","",""
"10/01/2022 05:00:00 - 10/01/2022 06:00:00","BZN|IT-North","Without sequence","192.15","",""
